"train_time","test_time","auc","participant"
0.96,-0.1,0.47542467948718,4
0.96,-0.1,0.519723865877712,5
0.96,-0.1,0.485765224358974,6
0.96,-0.1,0.524138621794872,7
0.96,-0.1,0.52265625,8
0.96,-0.1,0.493589743589744,9
0.96,-0.1,0.49875,10
0.98,-0.1,0.497139423076923,1
0.98,-0.1,0.523357371794872,2
0.98,-0.1,0.4821875,3
0.98,-0.1,0.484206730769231,4
0.98,-0.1,0.48030489809336,5
0.98,-0.1,0.488173076923077,6
0.98,-0.1,0.540296474358974,7
0.98,-0.1,0.5815625,8
0.98,-0.1,0.488621794871795,9
0.98,-0.1,0.50875,10
1,-0.1,0.484579326923077,1
1,-0.1,0.523389423076923,2
1,-0.1,0.54578125,3
1,-0.1,0.488453525641026,4
1,-0.1,0.439418967784352,5
1,-0.1,0.521879006410256,6
1,-0.1,0.558153044871795,7
1,-0.1,0.50828125,8
1,-0.1,0.511538461538461,9
1,-0.1,0.488125,10
-0.2,-0.08,0.435829326923077,1
-0.2,-0.08,0.461842948717949,2
-0.2,-0.08,0.524375,3
-0.2,-0.08,0.555372596153846,4
-0.2,-0.08,0.455325443786982,5
-0.2,-0.08,0.549447115384615,6
-0.2,-0.08,0.47536858974359,7
-0.2,-0.08,0.454375,8
-0.2,-0.08,0.553365384615385,9
-0.2,-0.08,0.50390625,10
-0.18,-0.08,0.398878205128205,1
-0.18,-0.08,0.422207532051282,2
-0.18,-0.08,0.54859375,3
-0.18,-0.08,0.51431891025641,4
-0.18,-0.08,0.498438527284681,5
-0.18,-0.08,0.49666266025641,6
-0.18,-0.08,0.502427884615385,7
-0.18,-0.08,0.45484375,8
-0.18,-0.08,0.47099358974359,9
-0.18,-0.08,0.52578125,10
-0.16,-0.08,0.41660657051282,1
-0.16,-0.08,0.503413461538462,2
-0.16,-0.08,0.47515625,3
-0.16,-0.08,0.468425480769231,4
-0.16,-0.08,0.528102399737015,5
-0.16,-0.08,0.526963141025641,6
-0.16,-0.08,0.5059375,7
-0.16,-0.08,0.5225,8
-0.16,-0.08,0.456089743589744,9
-0.16,-0.08,0.50265625,10
-0.14,-0.08,0.45542467948718,1
-0.14,-0.08,0.510793269230769,2
-0.14,-0.08,0.481875,3
-0.14,-0.08,0.448529647435897,4
-0.14,-0.08,0.505678829717291,5
-0.14,-0.08,0.474599358974359,6
-0.14,-0.08,0.485649038461538,7
-0.14,-0.08,0.55984375,8
-0.14,-0.08,0.523717948717949,9
-0.14,-0.08,0.47546875,10
-0.12,-0.08,0.528489583333333,1
-0.12,-0.08,0.520608974358974,2
-0.12,-0.08,0.53578125,3
-0.12,-0.08,0.477512019230769,4
-0.12,-0.08,0.461719263642341,5
-0.12,-0.08,0.461502403846154,6
-0.12,-0.08,0.503733974358974,7
-0.12,-0.08,0.545625,8
-0.12,-0.08,0.472916666666667,9
-0.12,-0.08,0.49390625,10
-0.1,-0.08,0.555400641025641,1
-0.1,-0.08,0.427844551282051,2
-0.1,-0.08,0.55421875,3
-0.1,-0.08,0.515821314102564,4
-0.1,-0.08,0.473076923076923,5
-0.1,-0.08,0.496798878205128,6
-0.1,-0.08,0.45948717948718,7
-0.1,-0.08,0.511875,8
-0.1,-0.08,0.50448717948718,9
-0.1,-0.08,0.46421875,10
-0.08,-0.08,0.62338141025641,1
-0.08,-0.08,0.41286858974359,2
-0.08,-0.08,0.41234375,3
-0.08,-0.08,0.469927884615385,4
-0.08,-0.08,0.523824786324786,5
-0.08,-0.08,0.51104967948718,6
-0.08,-0.08,0.540088141025641,7
-0.08,-0.08,0.48359375,8
-0.08,-0.08,0.519070512820513,9
-0.08,-0.08,0.50484375,10
-0.06,-0.08,0.5709375,1
-0.06,-0.08,0.466025641025641,2
-0.06,-0.08,0.4975,3
-0.06,-0.08,0.462383814102564,4
-0.06,-0.08,0.493515779092702,5
-0.06,-0.08,0.442860576923077,6
-0.06,-0.08,0.517760416666667,7
-0.06,-0.08,0.50265625,8
-0.06,-0.08,0.535416666666667,9
-0.06,-0.08,0.538125,10
-0.04,-0.08,0.529403044871795,1
-0.04,-0.08,0.556682692307692,2
-0.04,-0.08,0.45828125,3
-0.04,-0.08,0.517051282051282,4
-0.04,-0.08,0.499075443786982,5
-0.04,-0.08,0.489679487179487,6
-0.04,-0.08,0.509579326923077,7
-0.04,-0.08,0.51109375,8
-0.04,-0.08,0.507051282051282,9
-0.04,-0.08,0.481875,10
-0.02,-0.08,0.559551282051282,1
-0.02,-0.08,0.582459935897436,2
-0.02,-0.08,0.4921875,3
-0.02,-0.08,0.522151442307692,4
-0.02,-0.08,0.50155325443787,5
-0.02,-0.08,0.535480769230769,6
-0.02,-0.08,0.491514423076923,7
-0.02,-0.08,0.456875,8
-0.02,-0.08,0.507532051282051,9
-0.02,-0.08,0.50140625,10
0,-0.08,0.456526442307692,1
0,-0.08,0.48708733974359,2
0,-0.08,0.50375,3
0,-0.08,0.551009615384615,4
0,-0.08,0.531669132149901,5
0,-0.08,0.483786057692308,6
0,-0.08,0.482415865384615,7
0,-0.08,0.4628125,8
0,-0.08,0.532692307692308,9
0,-0.08,0.52078125,10
0.02,-0.08,0.505729166666667,1
0.02,-0.08,0.554254807692308,2
0.02,-0.08,0.45078125,3
0.02,-0.08,0.511951121794872,4
0.02,-0.08,0.556660913872452,5
0.02,-0.08,0.505929487179487,6
0.02,-0.08,0.531550480769231,7
0.02,-0.08,0.57515625,8
0.02,-0.08,0.482692307692308,9
0.02,-0.08,0.518125,10
0.04,-0.08,0.493914262820513,1
0.04,-0.08,0.531939102564102,2
0.04,-0.08,0.49640625,3
0.04,-0.08,0.506846955128205,4
0.04,-0.08,0.531221236028928,5
0.04,-0.08,0.53629407051282,6
0.04,-0.08,0.53771233974359,7
0.04,-0.08,0.50046875,8
0.04,-0.08,0.47900641025641,9
0.04,-0.08,0.46046875,10
0.06,-0.08,0.517884615384615,1
0.06,-0.08,0.509086538461539,2
0.06,-0.08,0.48109375,3
0.06,-0.08,0.563709935897436,4
0.06,-0.08,0.501812130177515,5
0.06,-0.08,0.497824519230769,6
0.06,-0.08,0.511542467948718,7
0.06,-0.08,0.4546875,8
0.06,-0.08,0.512820512820513,9
0.06,-0.08,0.51328125,10
